id,gene_short_name,num_cells_expressed,is_tf,tf_family
AT1G02813,AT1G02813,62,no,
AT1G02816,AT1G02816,12905,no,
AT1G02820,AT1G02820,99,no,
AT1G02840,AT1G02840,12706,no,
AT1G02850,AT1G02850,2280,no,
AT1G02860,AT1G02860,4090,no,
AT1G02870,AT1G02870,5348,no,
AT1G02880,AT1G02880,11478,no,
AT1G02890,AT1G02890,3448,no,
AT1G02900,AT1G02900,6285,no,
AT1G02910,AT1G02910,2908,no,
AT1G02920,AT1G02920,2935,no,
AT1G02930,AT1G02930,4518,no,
AT1G02950,AT1G02950,410,no,
AT1G02960,AT1G02960,3348,no,
AT1G02970,AT1G02970,683,no,
AT1G02980,AT1G02980,1327,no,
AT1G02990,AT1G02990,2844,no,
AT1G03000,AT1G03000,1307,no,
AT1G03010,AT1G03010,561,no,
AT1G03030,AT1G03030,5865,no,
AT1G03040,AT1G03040,6963,yes,bHLH
AT1G03060,AT1G03060,7302,no,
AT1G03070,AT1G03070,3646,no,
AT1G03080,AT1G03080,10853,no,
AT1G03090,AT1G03090,4649,no,
AT1G03100,AT1G03100,248,no,
AT1G03103,AT1G03103,12,no,
AT1G03106,AT1G03106,683,no,
AT1G03110,AT1G03110,3304,no,
AT1G03120,AT1G03120,109,no,
AT1G03130,AT1G03130,971,no,
AT1G03140,AT1G03140,9242,no,
AT1G03150,AT1G03150,10204,no,
AT1G03160,AT1G03160,984,no,
AT1G03170,AT1G03170,115,no,
AT1G03180,AT1G03180,2825,no,
AT1G03190,AT1G03190,2594,no,
AT1G03200,AT1G03200,345,no,
AT1G03210,AT1G03210,6125,no,
AT1G03220,AT1G03220,20549,no,
AT1G03230,AT1G03230,11814,no,
AT1G03250,AT1G03250,7089,no,
AT1G03260,AT1G03260,5721,no,
AT1G03270,AT1G03270,709,no,
AT1G03280,AT1G03280,5120,no,
AT1G03290,AT1G03290,6047,no,
AT1G03300,AT1G03300,98,no,
AT1G03310,AT1G03310,634,no,
AT1G03330,AT1G03330,13321,no,
AT1G03340,AT1G03340,49,no,
AT1G03350,AT1G03350,9287,no,
AT1G03360,AT1G03360,2413,no,
AT1G03365,AT1G03365,4609,no,
AT1G03370,AT1G03370,6731,no,
AT1G03380,AT1G03380,2528,no,
AT1G03410,AT1G03410,2368,no,
AT1G03430,AT1G03430,3638,no,
AT1G03440,AT1G03440,262,no,
AT1G03445,AT1G03445,87,no,
AT1G03457,AT1G03457,5127,no,
AT1G03470,AT1G03470,1422,no,
AT1G03475,AT1G03475,5330,no,
AT1G03510,AT1G03510,281,no,
AT1G03520,AT1G03520,3275,no,
AT1G03530,AT1G03530,1232,no,
AT1G03540,AT1G03540,35,no,
AT1G03550,AT1G03550,3524,no,
AT1G03560,AT1G03560,1180,no,
AT1G03590,AT1G03590,11513,no,
AT1G03600,AT1G03600,1219,no,
AT1G03610,AT1G03610,8227,no,
AT1G03620,AT1G03620,120,no,
AT1G03650,AT1G03650,989,no,
AT1G03660,AT1G03660,370,no,
AT1G03680,AT1G03680,2823,no,
AT1G03687,AT1G03687,3212,no,
AT1G03700,AT1G03700,303,no,
AT1G03730,AT1G03730,10188,no,
AT1G03740,AT1G03740,7614,no,
AT1G03750,AT1G03750,1374,no,
AT1G03760,AT1G03760,2581,no,
AT1G03770,AT1G03770,2020,no,
AT1G03780,AT1G03780,331,no,
AT1G03790,AT1G03790,1542,yes,C3H
AT1G03800,AT1G03800,219,yes,ERF
AT1G03820,AT1G03820,763,no,
AT1G03830,AT1G03830,597,no,
AT1G03840,AT1G03840,859,yes,C2H2
AT1G03850,AT1G03850,7007,no,
AT1G03860,AT1G03860,11507,no,
AT1G03870,AT1G03870,13635,no,
AT1G03880,AT1G03880,81,no,
AT1G03900,AT1G03900,17363,no,
AT1G03905,AT1G03905,6764,no,
AT1G03910,AT1G03910,7800,no,
AT1G03920,AT1G03920,1021,no,
AT1G03930,AT1G03930,3190,no,
AT1G03950,AT1G03950,2762,no,
AT1G03960,AT1G03960,869,no,
AT1G03970,AT1G03970,7687,yes,bZIP
AT1G03980,AT1G03980,137,no,
AT1G03982,AT1G03982,89,no,
AT1G03990,AT1G03990,37,no,
AT1G04000,AT1G04000,8929,no,
AT1G04010,AT1G04010,2469,no,
AT1G04020,AT1G04020,910,no,
AT1G04030,AT1G04030,938,no,
AT1G04040,AT1G04040,14427,no,
AT1G04050,AT1G04050,644,no,
AT1G04070,AT1G04070,6441,no,
AT1G04080,AT1G04080,7555,no,
AT1G04090,AT1G04090,263,no,
AT1G04100,AT1G04100,4654,no,
AT1G04110,AT1G04110,22,no,
AT1G04120,AT1G04120,8088,no,
AT1G04130,AT1G04130,2870,no,
AT1G04140,AT1G04140,9312,no,
AT1G04160,AT1G04160,2630,no,
AT1G04170,AT1G04170,11268,no,
AT1G04190,AT1G04190,5986,no,
AT1G04200,AT1G04200,5992,no,
AT1G04210,AT1G04210,5387,no,
AT1G04220,AT1G04220,154,no,
AT1G04230,AT1G04230,3361,no,
AT1G04240,AT1G04240,1853,no,
AT1G04250,AT1G04250,20053,no,
AT1G04260,AT1G04260,7600,no,
AT1G04270,AT1G04270,16552,no,
AT1G04280,AT1G04280,4391,no,
AT1G04290,AT1G04290,8579,no,
AT1G04300,AT1G04300,5965,no,
AT1G04310,AT1G04310,936,no,
AT1G04330,AT1G04330,261,no,
AT1G04340,AT1G04340,10379,no,
AT1G04360,AT1G04360,698,no,
AT1G04390,AT1G04390,1109,no,
AT1G04400,AT1G04400,9017,no,
AT1G04410,AT1G04410,24257,no,
AT1G04420,AT1G04420,977,no,
AT1G04430,AT1G04430,10647,no,
AT1G04440,AT1G04440,10657,no,
AT1G04445,AT1G04445,871,yes,C2H2
AT1G04480,AT1G04480,15185,no,
AT1G04490,AT1G04490,2015,no,
AT1G04500,AT1G04500,48,no,
AT1G04510,AT1G04510,6036,no,
AT1G04520,AT1G04520,1945,no,
AT1G04530,AT1G04530,7386,no,
AT1G04540,AT1G04540,43,no,
AT1G04550,AT1G04550,2157,no,
AT1G04555,AT1G04555,3706,no,
AT1G04560,AT1G04560,147,no,
AT1G04570,AT1G04570,686,no,
AT1G04580,AT1G04580,40,no,
AT1G04590,AT1G04590,4029,no,
AT1G04600,AT1G04600,94,no,
AT1G04610,AT1G04610,2960,no,
AT1G04620,AT1G04620,408,no,
AT1G04630,AT1G04630,16423,no,
AT1G04635,AT1G04635,1023,no,
AT1G04640,AT1G04640,1683,no,
AT1G04650,AT1G04650,240,no,
AT1G04660,AT1G04660,129,no,
AT1G04670,AT1G04670,29,no,
AT1G04680,AT1G04680,8352,no,
AT1G04690,AT1G04690,12998,no,
AT1G04700,AT1G04700,1737,no,
AT1G04710,AT1G04710,1405,no,
AT1G04730,AT1G04730,706,no,
AT1G04750,AT1G04750,19121,no,
AT1G04760,AT1G04760,392,no,
AT1G04770,AT1G04770,10558,no,
AT1G04778,AT1G04778,456,no,
AT1G04780,AT1G04780,7178,no,
AT1G04790,AT1G04790,3098,no,
AT1G04800,AT1G04800,65,no,
AT1G04810,AT1G04810,7672,no,
AT1G04820,AT1G04820,19163,no,
AT1G04830,AT1G04830,6839,no,
AT1G04840,AT1G04840,204,no,
AT1G04850,AT1G04850,17190,no,
AT1G04860,AT1G04860,3733,no,
AT1G04870,AT1G04870,3901,no,
AT1G04880,AT1G04880,79,no,
AT1G04900,AT1G04900,2467,no,
AT1G04910,AT1G04910,5374,no,
AT1G04920,AT1G04920,126,no,
AT1G04930,AT1G04930,1982,no,
AT1G04945,AT1G04945,1123,no,
AT1G04940,AT1G04940,3707,no,
AT1G04950,AT1G04950,3513,no,
AT1G04960,AT1G04960,10830,no,
AT1G04970,AT1G04970,5903,no,
AT1G04980,AT1G04980,8001,no,
AT1G04985,AT1G04985,9592,no,
AT1G04990,AT1G04990,7335,yes,C3H
